symbol,name,sector,security_type,board,index_membership,effective_date,end_date,source
1347.HK,HUA HONG GRACE,Information Technology,Common Stock,Main Board,HSI,2026-09-07,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260821T174500.pdf
1378.HK,CHINAHONGQIAO,Materials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1398.HK,ICBC (H),Financials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1519.HK,J&T EXPRESS - W,"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1658.HK,PSBC (H),Financials,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1801.HK,INNOVENT BIO,Healthcare,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1810.HK,XIAOMI - W,Information Technology,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1876.HK,BUD APAC,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1928.HK,SANDS CHINA LTD,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1929.HK,CHOW TAI FOOK,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
1997.HK,WHARF REIC,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2015.HK,LI AUTO - W,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2020.HK,ANTA SPORTS,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2057.HK,ZTO EXPRESS - W,Industrials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2269.HK,WUXI BIO,Healthcare,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2313.HK,SHENZHOU INTL,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2318.HK,PING AN (H),Financials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2319.HK,MENGNIU DAIRY,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
